,activeflag,businesstype,curvetype,documentid,documentrevnum,documenttype,powersystemresourcetype,processtype,quantity,resolution,settlementdate,settlementperiod,timeseriesid
123,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121230,1,Actual generation per type,Wind Onshore,Realised,1418.056,PT30M,2018-04-25,12,NGET-EMFIP-AGPT-TS-00614249
124,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121230,1,Actual generation per type,Other,Realised,124.0,PT30M,2018-04-25,12,NGET-EMFIP-AGPT-TS-00614250
125,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121230,1,Actual generation per type,Nuclear,Realised,7168.0,PT30M,2018-04-25,12,NGET-EMFIP-AGPT-TS-00614251
126,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121230,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,12,NGET-EMFIP-AGPT-TS-00614252
127,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121230,1,Actual generation per type,Fossil Gas,Realised,8281.0,PT30M,2018-04-25,12,NGET-EMFIP-AGPT-TS-00614253
128,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121230,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,12,NGET-EMFIP-AGPT-TS-00614254
129,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121230,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,257.0,PT30M,2018-04-25,12,NGET-EMFIP-AGPT-TS-00614255
130,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121230,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,12,NGET-EMFIP-AGPT-TS-00614256
131,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121230,1,Actual generation per type,Biomass,Realised,1150.0,PT30M,2018-04-25,12,NGET-EMFIP-AGPT-TS-00614257
132,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121231,1,Actual generation per type,Solar,Realised,113.0,PT30M,2018-04-25,13,NGET-EMFIP-AGPT-TS-00614258
133,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121231,1,Actual generation per type,Wind Offshore,Realised,2024.2,PT30M,2018-04-25,13,NGET-EMFIP-AGPT-TS-00614259
134,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121231,1,Actual generation per type,Wind Onshore,Realised,3345.003,PT30M,2018-04-25,13,NGET-EMFIP-AGPT-TS-00614260
135,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121231,1,Actual generation per type,Other,Realised,123.0,PT30M,2018-04-25,13,NGET-EMFIP-AGPT-TS-00614261
